Year,Questions,Marks,Topic,Subtopic,Mark Scheme,Mark scheme K,Mark scheme Ap,Mark scheme An,Page,Check,
Jan 2021,evaluate the extent to which the non financial methods of motivation offered by hsbc might improve employee performance,20,managing people,importance employee motivation taylor scientific management mayo human relation theory maslow hierarchy needs herzberg two factor financial incentives improve performance piecework commission bonus profit share related pay non techniques improve delegation consultation empowerment team working flexible job enrichment rotation enlargement leadership style autocratic paternalistic democratic laissez faire,3 guidance Answers must be credited by using level descriptors (below) in line with general marking guidance The indicative below exemplifies some of points that candidates may make but this does not imply that any ofse must be included Other relevant points must also be credited Knowledge Application Analysis Evaluation Œ indicative  Motivation is a reason for acting or behaving in a particular way Nonfinancial methods of motivation refer to nonmonetary rewards HSBC encourages job rotation for university graduates This may prevent employees from becoming bored inir roles as well as allowingm to build a wider range of skills  HCSB believes employees should be empowered to make decisions in business Employees should become more confident to make important decisions in banks Employees at HSBC can take a sabbatical which may provide worklife balance many employees are seeking As with Andy Russell this may motivate employees to work harder wheny return to work  A large percentage of HSBC employees work on a flexible basis This may be home working or parttime working This again helps provide a better worklife balance for employees which may lead to more loyal and committed staff for HSBC However flexible working may not improve employee performance Some employees may abuse advantages of working from home and not be productive Time off for sabbaticals may be difficult to manage for bank and cause disruption at bank branch wherey work Job rotation may also be difficult to manage if graduates move regularly from country to country  Some employees may be motivated by financial benefits If other banks offer better pay and monetary rewards this may demotivate staff and cause high labour turnover It depends on what motivates employees at bank some will be focused on meeting basic needs when leaving university and less focused on nonfinancial benefits  Overall bank has a wide variety of opportunities for university graduates which is likely to motivate those employees looking for a fulfilling career at bank,,,,12,TRUE,11
Apr 2021,define the term demand,2,market,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,"1(a) Knowledge Up to 2 marks for defining the term ‘demand’ e.g.
• consumer's desire to purchase goods and services (1) at a given
price, at a given time (1).",,,,2,TRUE,11
Apr 2021,using this data and extract b calculate to two decimal places the total percentage market share of the top three chocolate manufacturers,4,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,32.46%,,,,2,TRUE,11
Apr 2021,analyse two factors that are likely to determine the pricing strategy used by chocolate manufacturers,6,marketing mix and strategy,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,"1(c) Knowledge 2, Application 2, Analysis 2
Up to 2 marks for defining pricing strategy, e.g.
• a method used by a business when deciding (1) the price at which a
product is sold (1). OR
For giving two factors that may determine the pricing strategy, e.g. • level of competition (1); cost and the need to make a profit (1).
Application
Up to 2 marks for answers contextualised to the chocolate market, e.g.
• there is a high level of competition in the global chocolate market
from manufacturers such as Mars and Ferrero (1)
• cocoa is the key ingredient in the manufacture of chocolate
products, and due to uncertainty in the market the cost of cocoa is likely to increase (1).
Analysis
Up to 2 marks for reasons / causes / consequences for the chocolate market, e.g.
• this may lead manufacturers to use a competitive pricing strategy
due to the large number of substitutes (1)
• this may lead the chocolate manufacturers to use a cost-plus
strategy due to rising input costs (1).",,,,3,TRUE,11
Apr 2021,discuss the benefits to a business such as ferrero of motivating its employees,8,managing people,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,"1(d) Knowledge, Application, Analysis, Evaluation – indicative content
• Motivation is the reason for people's actions, willingness and goals.
• Ferrero regards its employees as part of the family who contribute to the growth of the business. This may create a sense of belonging and lead to Ferrero retaining the best employees.
• Every employee is inspired to innovate, starting from the first day they join. This will motivate workers to be creative and help Ferrero to produce superior chocolates in the competitive market in which it operates.
• Ferrero motivates employees financially by paying a competitive wage. This is important to retain and attract the best people in the industry.
• Motivated employees feel valued and part of a team. Ferrero asks employees for suggestions as well as analysing employee feedback. This should improve productivity at Ferrero.
• However, methods of motivating employees can be costly. Providing extensive training programmes and attractive wages will increase the costs for Ferrero. This may push up prices of its products which may result in loss of competitiveness.
• Ferrero asks all employees to act like entrepreneurs and provide suggestions for improvement. Highly trained and motivated employees may leave the business and work for competitors once trained, which will increase the recruitment costs.",,,,4,TRUE,11
Apr 2021,assess the advantages of market segmentation to a business in the chocolate market,10,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,"1(e) Knowledge, Application, Analysis, Evaluation – indicative content
• Segmentation is dividing the market into groups of people with similar attributes or common characteristics.
• The global chocolate market is segmented in a number of ways such as type of chocolate, sale frequency, organic and seasonal chocolates.
• segmentation increases costs. When a company attempts to serve different groups of customers the cost of production rises as well as research, promotional and distribution costs.
• By focusing on providing niche chocolates there is a danger that this specialisation could lead to problems if consumers change their purchasing habits significantly.
• The market segments identified may be too small, e.g. organic chocolate, and may not generate sufficient sales to be viable/profitable for the business.
 Focusing on specific market segments allows a company such as
 Ferrero to analyse segments of the markets and tailor products to
 meet the particular needs of those customers.
 Market segmentation helps to direct advertising and promotion to
 specific groups of customers, e.g. those looking for health benefits,
 and therefore help to make marketing more effective.
 Market segmentation can help chocolate suppliers to identify
 underserved customers, such as those seeking organic and fair-trade
 chocolate, which provide the opportunity to increase sales.
 It helps a company to focus on the most profitable and productive
 segments of the market to increase revenue and profitability.",,,,5,TRUE,11
Apr 2021,define the term customer loyalty,2,marketing mix and strategy,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,"2(a) Knowledge 2 Up to 2 marks for defining the term ‘customer loyalty’, e.g.
• To continue buying (1) from a specific seller/manufacturer (1).",,,,7,TRUE,11
Apr 2021,using this data calculate the income elasticity of demand for bisu you are advised to show your working,4,market,demand factors change prices substitute and complementary goods consumer income fashions taste preference advertising branding demographics external shock seasonality supply cost production introduction new technology indirect tax government subsidies market interaction draw diagram show cause consequence price elasticity calculation numerical value influence significance businesses implication for pricing relationship total revenue income,"2(b) Knowledge 1, Application 2, Analysis 1
Quantitative skills assessed:
QS2: calculate, use and understand percentages and percentage changes.
QS7: interpret values of price and income elasticity of demand.
Knowledge
1 mark for identifying the formula for YED:
• YED = % change in quantity demanded / %change in income (1).
Application
Up to 2 marks for selecting the correct data:
• 112,000 – 100,000 / 100,000 x 100 = 12% (1) / 6% (1).
Analysis
1 mark for calculating YED: • 2(1).
",,,,7,TRUE,11
Apr 2021,analyse two factors that may lead to a change in the supply of delivery services in turkey,6,market,demand factors change prices substitute and complementary goods consumer income fashions taste preference advertising branding demographics external shock seasonality supply cost production introduction new technology indirect tax government subsidies market interaction draw diagram show cause consequence price elasticity calculation numerical value influence significance businesses implication for pricing relationship total revenue income,"2(c) Knowledge 2, Application 2, Analysis 2
Up to 2 marks for defining supply, e.g.
• the quantity of goods and services (1) sellers are willing/able to
supply at a given price (1). OR
For providing two factors leading to a change in supply, e.g. • new technology (1) increased input costs (1).
Application
Up to 2 marks for answers contextualised to on-demand delivery suppliers, e.g.
• delivery businesses are adapting new technology by developing
applications to allow people to shop online (1)
• businesses like BiSU have a large team of delivery drivers, and
wages in Turkey are increasing (1).
Analysis
Up to 2 marks for reasons/causes/consequences for on-demand delivery suppliers, e.g.
• improvements in technology will attract new companies to the
market that will utilise applications to become part of this growing
online market, therefore increasing supply (1)
• if labour costs and other input costs rise significantly this may
reduce profit margins and result in a decrease in supply of the delivery services in the future (1).",,,,8,TRUE,11
Apr 2021,discuss the benefits for a business such as kapgel of using part time and temporary employees,8,managing people,approaches staff asset flexible workforce multi skilling part time and temporary hour home working outsource distinction between dismissal redundancy employer employee relationship individual approach collective bargaining recruitment selection training process internal external cost induction on job off organisational design structure hierarchy chain command span control centralised decentralised tall flat matrix efficiency motivation,"2(d) Knowledge, Application, Analysis, Evaluation – indicative content
• Part-time employees generally work a few hours or a few days a week.
•
 Temporary work is generally for a limited period of time.
 Kapgel uses part-time and temporary employees to deliver goods to
 customers in Istanbul.
• A benefit of using part-time employees is that it provides flexibility to the business as staff can be scheduled at the busiest times of the day to meet customer demand and deliver goods on time to customers.
• A major benefit of using temporary employees is lower costs. Often temporary employees receive fewer or no benefits compared to permanent staff, depending on their contract. The lack of benefits saves money for the business which can be used elsewhere to grow the business.
• Using part-time employees may attract staff who have other commitments and do not wish to work on a full-time basis. This may improve the work life balance of staff and result in motivated and productive staff.
 • However,  temporary employees, may have less knowledge and familiarity with the company. This can affect employee performance
 and impact the efficiency of the delivery service.
• Recruitment costs may be higher if a business has a more flexible workforce as the turnover of staff may be high. This may reduce Kapgel’s profit margins.
• Some employees prefer full-time employment and a permanent contract. This may lead to a lack of commitment by workers at Kapgel. This may lead to Kapgel losing workers to competitors and facing disruption to customer service.",,,,9,TRUE,11
Apr 2021,assess the extent to which product is the most important element of the marketing mix for on demand delivery businesses in turkey,10,marketing mix and strategy,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,"2(e) Knowledge, Application, Analysis, Evaluation – indicative content
•
• Product range may be an important element in the delivery market.
•
•
• However, other aspects of the marketing mix: place, price and promotion are equally as important to the success of the delivery businesses.
•
•
• Due to the intense competition in Turkey, delivery businesses must stand out in the market and ensure they are using promotional methods suited to the audience.
• The distribution of the goods may also be important to consumers. Kapgel deliver in one hour but Getir, who have warehouses located around Istanbul, are able to delivery to customers in under ten minutes. If speed of delivery is important to consumers’ then place will be an important element of the marketing mix.
• Whilst product is crucial to the success of the delivery services, all elements of the marketing mix are equally importance to ensure the business succeeds in the long term.
 Product is one element of the marketing mix. The other three
 elements are place (distribution), promotion and price.
 Getir stock 1,000 different products in its warehouses. Kapgel do not
 keep stock and allow the customer to shop from a wide range of
 shops.
 This may influence demand for the businesses if consumers are
 looking for a wider variety of goods.
 Tap water in Turkey is not drinkable, therefore the product of clean
 water is crucial to the success of BiSu.
 Price may be an important element due to the competition in the on-
 demand market. Increased numbers of people are using the delivery
 services in Istanbul and therefore suppliers may need to compete on
 price to survive.
 Deliveries are made within one hour by Kapgel for a delivery fee of 5
 Turkish Lira. Getir add a cost to each product and has a minimum
 shopping total of 15 Turkish Lira before it will deliver an order. Price
 may be an important element for some consumers resulting in
 reduced revenue for Getir.",,,,10,TRUE,11
Apr 2021,evaluate whether toms should focus on cost efficiency or social objectives to survive in the markets in which it operates,20,entreprenuers and leaders,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,"Knowledge, Application, Analysis, Evaluation – indicative content Cost efficiency
• Cost efficiency aims to minimise the costs of producing goods and services.
• TOMS is experiencing increasing costs and low profit margins. Due to financial problems in 2014 it was given a $313m investment from a private company but growth and profit margins remain lower than expected.
• Reducing its costs may be important to increase its profit margins. Profits are important to TOMS to enable it to reinvest into the growth of the company and develop its portfolio.
• Reducing costs and increasing profit margins are also necessary to keep its investors satisfied. TOMS may fail to attract further private investors if returns are low.
• Reducing material costs of the shoes may help the company to sell at a lower price and compete with companies such as Skechers that are selling a similar style shoe at half the price.
• However, reducing the costs may impact the quality of the shoes. If TOMS use an inferior quality of material or less responsible suppliers it may lose its brand identity.
Social objectives
• •
•
Social objectives are a company’s goals and commitment to manage the impact of its operations on others. This is also referred to as corporate social responsibility.
help to improve the public image of the company. This shows consumers that the business is
going above and beyond to help the society in which it operates and may lead to higher levels of revenue for TOMS.
 TOMS donate a pair of shoes for every pair it sells. For some
 customers, the social goals and practices of a company are
 important which may increase sales and encourage repeat
 purchase for TOMS.
 Helping to improve eyesight should
• Pursuing social objectives may lead to increased media coverage for TOMS and increased demand.
• A benefit of focussing on social goals is the possibility of attracting new investors. If the social goals align with an investor’s view, they may be more inclined to invest in a company.
• Likewise, employees who share the same social goals of the company will be more motivated at work when they know the company is working toward the same objectives.
 
• However, social objectives can increase the costs for the company. The one-for-one policy and helping improve eyesight is an expensive commitment.
• Also using sustainable and re-cyclable materials pushes up costs and prices of goods. If price is an important factor for consumers, they are likely to buy from rivals such as Skechers.
• Other factors may also be important to its survival such as widening its portfolio. The portfolio of products is small and since it was founded in 2006, the company has done little to expand beyond its basic style of shoe.
• Overall it is likely that cost efficiency is important to TOMS in order to survive financially. It may need to reduce costs and increase its profitability if it is to survive long term.
• However, the USP of TOMS is its ethical behaviour and its pursuit of social objectives. If this is compromised, then TOMS may lose its means of differentiation and not survive in the long term.",,,,12,TRUE,11
May 2018,what is meant by market growth,2,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,1(a) Knowledge 2 Knowledgeunderstanding of market growth eg An increase in demandsales (1) for a particular productservice (1)  (2),,,,3,TRUE,13
May 2018,what is meant by on the job training,2,managing people,approaches staff asset flexible workforce multi skilling part time and temporary hour home working outsource distinction between dismissal redundancy employer employee relationship individual approach collective bargaining recruitment selection training process internal external cost induction on job off organisational design structure hierarchy chain command span control centralised decentralised tall flat matrix efficiency motivation,1(b) Knowledge 2 Knowledgeunderstanding of onthejob training eg Learninggainingdeveloping skills (1) whilst at work doing job (1) (2),,,,3,TRUE,13
May 2018,explain how puregym has gained a competitive advantage in the fitness market,4,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,1 (c) Knowledge 1 Application 2 Analysis 1  Knowledgeunderstanding 1 mark for understanding competitive advantage  Using differentiationUSP to have an edge over competition Application up to 2 marks for suggesting how PureGym has achieved this eg  PureGym is open 247  Has over 250 gyms Offers a lowcost membership option No contract membership option Analysis 1 mark is available for explaining consequences eg  This might better suit needs of customers so thaty choose PureGym over other gyms (4),Using differentiationUSP to have an edge over competition,PureGym is open 247  Has over 250 gyms Offers a lowcost membership option No contract membership option Analysis 1 mark is available for explaining consequences,This might better suit needs of customers so thaty choose PureGym over other gyms (4),4,TRUE,13
May 2018,explain how the growth of the fitness market from 2015 to 2016 could have affected puregym,4,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,1 (d) Knowledge 1 Application 2 Analysis 1 Knowledgeunderstanding 1 mark for understanding an effect More people may be interested in joining a gymmore competition may enter market Application up to 2 marks for contextualised examples eg  market growth of 32 1 in 7 people in UK is a gym member PureGym has added 60 gyms in last 12 months Competition offer more luxurybenefits eg Virgin Active Analysis 1 mark for explaining consequences eg PureGym may have more potential customers to targetrefore increasing sales revenue PureGym may face more competition and may lose market share (4),More people may be interested in joining a gymmore competition may enter market ,market growth of 32 1 in 7 people in UK is a gym member PureGym has added 60 gyms in last 12 months Competition offer more luxurybenefits Virgin Active,PureGym may have more potential customers to targetrefore increasing sales revenue PureGym may face more competition and may lose market share (4),5,TRUE,13
May 2018,assess two likely benefits for puregym of its managers using a paternalistic leadership style,8,managing people,importance employee motivation taylor scientific management mayo human relation theory maslow hierarchy needs herzberg two factor financial incentives improve performance piecework commission bonus profit share related pay non techniques improve delegation consultation empowerment team working flexible job enrichment rotation enlargement leadership style autocratic paternalistic democratic laissez faire,1 (e) Knowledge 2 Application 2 Analysis 2 Evaluation 2 Paternalistic leaders are in control but take welfare of employees into account when making decisions Employees may love working for company wherey feel managers care aboutm Staff turnover and absenteeism of gym instructors could be lowerrefore reducing costs of business Employees may feel more confident with a leader that makes best decision form If employees feel looked aftery may in turn provide a better service to gym users which could lead to repeat custom and a good reputation Potential Counterbalance Some employees such as assistant gym managers may want to make more decisions formselves andrefore may be demotivated by paternalistic leadershipprefer a democratic leader Some gym staff such as personal trainers may work bymselves most of time so may not feel so influenced by manager (8),,,,6,TRUE,13
